id,model,make,barrels08,city08,cityCD,cityE,feScore,fuelCost08,fuelType,fuelType1,fuelType2
38146,Lancer,Mitsubishi,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38147,Lancer 4WD,Mitsubishi,12.68,23.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38148,CC 4motion,Volkswagen,16.48,17.0,0.0,0.0,4,2000.0,Regular,Regular Gasoline,Unknown
38149,Altima SR,Nissan,10.99,26.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
3815,T15 (S15) Pickup 4WD,GMC,15.7,19.0,0.0,0.0,Unknown,1900.0,Regular,Regular Gasoline,Unknown
38150,Altima,Nissan,10.63,27.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
38151,Altima,Nissan,12.68,22.0,0.0,0.0,6,1550.0,Regular,Regular Gasoline,Unknown
38152,Corolla,Toyota,10.99,27.0,0.0,0.0,7,1350.0,Regular,Regular Gasoline,Unknown
38153,Corolla,Toyota,10.3,28.0,0.0,0.0,7,1250.0,Regular,Regular Gasoline,Unknown
38154,Corolla,Toyota,10.63,28.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
38155,Corolla LE Eco,Toyota,9.69,30.0,0.0,0.0,8,1200.0,Regular,Regular Gasoline,Unknown
38156,Corolla LE Eco,Toyota,9.99,29.0,0.0,0.0,8,1200.0,Regular,Regular Gasoline,Unknown
38157,AMG S63 4matic,Mercedes-Benz,18.31,15.0,0.0,0.0,3,2650.0,Premium,Premium Gasoline,Unknown
38158,HR-V FWD,Honda,11.77,25.0,0.0,0.0,6,1450.0,Regular,Regular Gasoline,Unknown
38159,HR-V FWD,Honda,10.63,28.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
3816,T15 (S15) Pickup 4WD,GMC,16.48,18.0,0.0,0.0,Unknown,2000.0,Regular,Regular Gasoline,Unknown
38160,HR-V FWD,Honda,10.63,28.0,0.0,0.0,7,1300.0,Regular,Regular Gasoline,Unknown
38161,HR-V AWD,Honda,11.37,27.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38162,HR-V AWD,Honda,11.37,27.0,0.0,0.0,7,1400.0,Regular,Regular Gasoline,Unknown
38163,Pathfinder 2WD,Nissan,14.33,20.0,0.0,0.0,5,1750.0,Regular,Regular Gasoline,Unknown
38164,F-Pace,Jaguar,13.18,26.0,0.0,0.0,7,1450.0,Diesel,Diesel,Unknown
38165,Pathfinder 4WD,Nissan,14.98,19.0,0.0,0.0,5,1850.0,Regular,Regular Gasoline,Unknown
38166,Pathfinder 4WD Platinum,Nissan,15.7,19.0,0.0,0.0,4,1900.0,Regular,Regular Gasoline,Unknown
38167,RX 450h AWD,Lexus,10.99,31.0,0.0,0.0,7,1600.0,Premium,Premium Gasoline,Unknown
38168,Soul Electric,Kia,0.19,120.0,0.0,28.1744,10,600.0,Electricity,Electricity,Unknown
